,title,vol,update,number,date
0,一個人的○○小日子,3,04/20,108406,2019/04/20 07:00:21
1,滿腦都是○○的我沒辦法談戀愛,3,04/20,211705,2019/04/20 07:00:21
2,川柳少女,3,04/20,88680,2019/04/20 07:00:21
3,JOJO 的奇妙冒險 黃金之風,27,04/20,4555607,2019/04/20 07:00:21
4,魔法水果籃,2,04/20,15703,2019/04/20 07:00:21
5,戀愛幕末男友外傳-危機,3,04/19,4190,2019/04/20 07:00:21
6,Fight League 交鋒聯盟,10,04/18,63216,2019/04/20 07:00:21
7,一拳超人 (第二季),14,04/17,667343,2019/04/20 07:00:21
8,強襲魔女 501 部隊出動！,2,04/17,27249,2019/04/20 07:00:21
9,鑽石王牌 act2,3,04/16,100879,2019/04/20 07:00:21
10,星光王子 KING OF PRISM -Shiny Seven Stars-,1,04/16,3075,2019/04/20 07:00:21
11,八月的棒球甜心,2,04/15,52000,2019/04/20 07:00:21
12,為什麼老師會在這裡！？,2,04/15,242055,2019/04/20 07:00:21
13,FAIRY TAIL 魔導少年 最終章,304,04/14,2080887,2019/04/20 07:00:21
14,一弦定音！,2,04/14,59931,2019/04/20 07:00:21
15,我們真的學不來！,2,04/14,151113,2019/04/20 07:00:21
16,鬼滅之刃,2,04/14,299762,2019/04/20 07:00:21
17,信長老師的年幼妻子,2,04/13,126985,2019/04/20 07:00:21
18,高中女生,2,04/13,95445,2019/04/20 07:00:21
19,超可動女孩 1/6,2,04/13,35173,2019/04/20 07:00:21
20,MIX,2,04/13,31592,2019/04/20 07:00:21
