,title,vol,update,number,date
0,MIX,13,06/29,194980,2019/06/29 21:00:08
1,JOJO 的奇妙冒險 黃金之風,36,06/29,6512160,2019/06/29 21:00:08
2,魔法水果籃,12,06/29,277144,2019/06/29 21:00:08
3,Fight League 交鋒聯盟,20,06/27,125354,2019/06/29 21:00:08
4,一拳超人 (第二季),23,06/26,5035741,2019/06/29 21:00:08
5,強襲魔女 501 部隊出動！,12,06/26,145680,2019/06/29 21:00:08
6,鑽石王牌 act2,13,06/25,630235,2019/06/29 21:00:08
7,劇場版 夏目友人帳～緣結空蟬～,電影1,06/25,33775,2019/06/29 21:00:08
8,星光王子 KING OF PRISM -Shiny Seven Stars-,11,06/25,58511,2019/06/29 21:00:08
9,進擊的巨人 第三季,21,06/24,6626667,2019/06/29 21:00:08
10,八月的棒球甜心,10,06/24,190237,2019/06/29 21:00:08
11,為什麼老師會在這裡！？,12,06/24,1408577,2019/06/29 21:00:08
12,FAIRY TAIL 魔導少年 最終章,314,06/23,2890584,2019/06/29 21:00:08
13,一弦定音！,12,06/23,493838,2019/06/29 21:00:08
14,我們真的學不來！,12,06/23,1072326,2019/06/29 21:00:08
15,鬼滅之刃,12,06/23,3147191,2019/06/29 21:00:08
16,信長老師的年幼妻子,12,06/22,1048791,2019/06/29 21:00:08
17,高中女生,12,06/22,333953,2019/06/29 21:00:08
18,超可動女孩 1/6,12,06/22,191835,2019/06/29 21:00:08
19,一個人的○○小日子,12,06/22,625063,2019/06/29 21:00:08
20,滿腦都是○○的我沒辦法談戀愛,12,06/22,1341991,2019/06/29 21:00:08
21,川柳少女,12,06/22,573253,2019/06/29 21:00:08
22,戀愛幕末男友外傳-危機,12,06/21,25316,2019/06/29 21:00:08
