,title,vol,update,number,date
0,進擊的巨人 第三季,20,06/17,5920914,2019/06/17 23:00:09
1,八月的棒球甜心,9,06/17,164895,2019/06/17 23:00:09
2,為什麼老師會在這裡！？,11,06/17,1221552,2019/06/17 23:00:09
3,FAIRY TAIL 魔導少年 最終章,313,06/16,2773747,2019/06/17 23:00:09
4,一弦定音！,11,06/16,414419,2019/06/17 23:00:09
5,我們真的學不來！,11,06/16,923769,2019/06/17 23:00:09
6,鬼滅之刃,11,06/16,2603636,2019/06/17 23:00:09
7,信長老師的年幼妻子,11,06/15,913474,2019/06/17 23:00:09
8,高中女生,11,06/15,306426,2019/06/17 23:00:09
9,超可動女孩 1/6,11,06/15,171375,2019/06/17 23:00:09
10,MIX,11,06/15,171694,2019/06/17 23:00:09
11,魔法水果籃,10,06/15,233230,2019/06/17 23:00:09
12,一個人的○○小日子,11,06/15,551679,2019/06/17 23:00:09
13,滿腦都是○○的我沒辦法談戀愛,11,06/15,1189621,2019/06/17 23:00:09
14,川柳少女,11,06/15,501265,2019/06/17 23:00:09
15,JOJO 的奇妙冒險 黃金之風,34,06/15,6224774,2019/06/17 23:00:09
16,戀愛幕末男友外傳-危機,11,06/14,22538,2019/06/17 23:00:09
17,Fight League 交鋒聯盟,18,06/13,110905,2019/06/17 23:00:09
18,一拳超人 (第二季),21,06/12,4211151,2019/06/17 23:00:09
19,強襲魔女 501 部隊出動！,10,06/12,121702,2019/06/17 23:00:09
20,鑽石王牌 act2,11,06/11,525540,2019/06/17 23:00:09
21,星光王子 KING OF PRISM -Shiny Seven Stars-,9,06/11,43891,2019/06/17 23:00:09
