,title,vol,update,number,date
0,強襲魔女 501 部隊出動！,12,06/26,135688,2019/06/26 01:00:09
1,鑽石王牌 act2,13,06/25,581498,2019/06/26 01:00:09
2,劇場版 夏目友人帳～緣結空蟬～,電影1,06/25,統計中,2019/06/26 01:00:09
3,星光王子 KING OF PRISM -Shiny Seven Stars-,11,06/25,51137,2019/06/26 01:00:09
4,進擊的巨人 第三季,21,06/24,6449506,2019/06/26 01:00:09
5,八月的棒球甜心,10,06/24,183145,2019/06/26 01:00:09
6,為什麼老師會在這裡！？,12,06/24,1361575,2019/06/26 01:00:09
7,FAIRY TAIL 魔導少年 最終章,314,06/23,2866373,2019/06/26 01:00:09
8,一弦定音！,12,06/23,475403,2019/06/26 01:00:09
9,我們真的學不來！,12,06/23,1042435,2019/06/26 01:00:09
10,鬼滅之刃,12,06/23,3017579,2019/06/26 01:00:09
11,信長老師的年幼妻子,12,06/22,1018411,2019/06/26 01:00:09
12,高中女生,12,06/22,327613,2019/06/26 01:00:09
13,超可動女孩 1/6,12,06/22,187474,2019/06/26 01:00:09
14,MIX,12,06/22,190691,2019/06/26 01:00:09
15,一個人的○○小日子,12,06/22,608560,2019/06/26 01:00:09
16,滿腦都是○○的我沒辦法談戀愛,12,06/22,1306252,2019/06/26 01:00:09
17,川柳少女,12,06/22,556146,2019/06/26 01:00:09
18,JOJO 的奇妙冒險 黃金之風,35,06/22,6457876,2019/06/26 01:00:09
19,魔法水果籃,11,06/22,267067,2019/06/26 01:00:09
20,戀愛幕末男友外傳-危機,12,06/21,24719,2019/06/26 01:00:09
21,Fight League 交鋒聯盟,19,06/20,120560,2019/06/26 01:00:09
22,一拳超人 (第二季),22,06/19,4680775,2019/06/26 01:00:09
