,title,vol,update,number,date
0,一拳超人 (第二季),17,05/08,1689872,2019/05/09 04:00:27
1,強襲魔女 501 部隊出動！,5,05/08,52795,2019/05/09 04:00:27
2,鑽石王牌 act2,6,05/07,224892,2019/05/09 04:00:27
3,星光王子 KING OF PRISM -Shiny Seven Stars-,4,05/07,16686,2019/05/09 04:00:27
4,進擊的巨人 第三季,14,05/06,3985811,2019/05/09 04:00:27
5,八月的棒球甜心,5,05/06,111356,2019/05/09 04:00:27
6,為什麼老師會在這裡！？,5,05/06,603319,2019/05/09 04:00:27
7,FAIRY TAIL 魔導少年 最終章,307,05/05,2301359,2019/05/09 04:00:27
8,一弦定音！,5,05/05,169378,2019/05/09 04:00:27
9,我們真的學不來！,5,05/05,390290,2019/05/09 04:00:27
10,鬼滅之刃,5,05/05,922226,2019/05/09 04:00:27
11,信長老師的年幼妻子,5,05/04,412128,2019/05/09 04:00:27
12,高中女生,5,05/04,188403,2019/05/09 04:00:27
13,超可動女孩 1/6,5,05/04,87550,2019/05/09 04:00:27
14,MIX,5,05/04,75895,2019/05/09 04:00:27
15,一個人的○○小日子,5,05/04,254691,2019/05/09 04:00:27
16,滿腦都是○○的我沒辦法談戀愛,5,05/04,515685,2019/05/09 04:00:27
17,川柳少女,5,05/04,222434,2019/05/09 04:00:27
18,JOJO 的奇妙冒險 黃金之風,28.5,05/04,5051575,2019/05/09 04:00:27
19,魔法水果籃,4,05/04,74981,2019/05/09 04:00:27
20,戀愛幕末男友外傳-危機,5,05/03,11266,2019/05/09 04:00:27
21,Fight League 交鋒聯盟,12,05/02,74956,2019/05/09 04:00:27
