,title,vol,update,number,date
0,FAIRY TAIL 魔導少年 最終章,315,06/30,2893731,2019/06/30 20:00:28
1,一弦定音！,13,06/30,496626,2019/06/30 20:00:28
2,我們真的學不來！,13,06/30,1076474,2019/06/30 20:00:28
3,鬼滅之刃,13,06/30,3167065,2019/06/30 20:00:28
4,MIX,13,06/29,198246,2019/06/30 20:00:28
5,JOJO 的奇妙冒險 黃金之風,36,06/29,6571083,2019/06/30 20:00:28
6,魔法水果籃,12,06/29,284027,2019/06/30 20:00:28
7,Fight League 交鋒聯盟,20,06/27,126231,2019/06/30 20:00:28
8,一拳超人 (第二季),23,06/26,5062447,2019/06/30 20:00:28
9,強襲魔女 501 部隊出動！,12,06/26,146586,2019/06/30 20:00:28
10,鑽石王牌 act2,13,06/25,633699,2019/06/30 20:00:28
11,劇場版 夏目友人帳～緣結空蟬～,電影1,06/25,36882,2019/06/30 20:00:28
12,星光王子 KING OF PRISM -Shiny Seven Stars-,11,06/25,59135,2019/06/30 20:00:28
13,進擊的巨人 第三季,21,06/24,6648833,2019/06/30 20:00:28
14,八月的棒球甜心,10,06/24,191201,2019/06/30 20:00:28
15,為什麼老師會在這裡！？,12,06/24,1415392,2019/06/30 20:00:28
16,信長老師的年幼妻子,12,06/22,1053618,2019/06/30 20:00:28
17,高中女生,12,06/22,335025,2019/06/30 20:00:28
18,超可動女孩 1/6,12,06/22,192465,2019/06/30 20:00:28
19,一個人的○○小日子,12,06/22,627538,2019/06/30 20:00:28
20,滿腦都是○○的我沒辦法談戀愛,12,06/22,1347683,2019/06/30 20:00:28
21,川柳少女,12,06/22,576017,2019/06/30 20:00:28
22,戀愛幕末男友外傳-危機,12,06/21,25430,2019/06/30 20:00:28
