,title,vol,update,number,date
0,為什麼老師會在這裡！？,9,06/03,983048,2019/06/03 04:00:12
1,FAIRY TAIL 魔導少年 最終章,311,06/02,2561584,2019/06/03 04:00:12
2,一弦定音！,9,06/02,301124,2019/06/03 04:00:12
3,我們真的學不來！,9,06/02,651408,2019/06/03 04:00:12
4,鬼滅之刃,9,06/02,1777359,2019/06/03 04:00:12
5,信長老師的年幼妻子,9,06/01,690964,2019/06/03 04:00:12
6,高中女生,9,06/01,263092,2019/06/03 04:00:12
7,超可動女孩 1/6,9,06/01,138491,2019/06/03 04:00:12
8,MIX,9,06/01,131617,2019/06/03 04:00:12
9,一個人的○○小日子,9,06/01,435998,2019/06/03 04:00:12
10,滿腦都是○○的我沒辦法談戀愛,9,06/01,884573,2019/06/03 04:00:12
11,川柳少女,9,06/01,395946,2019/06/03 04:00:12
12,JOJO 的奇妙冒險 黃金之風,32,06/01,5721688,2019/06/03 04:00:12
13,魔法水果籃,8,06/01,161784,2019/06/03 04:00:12
14,戀愛幕末男友外傳-危機,9,05/31,18150,2019/06/03 04:00:12
15,Fight League 交鋒聯盟,16,05/30,94373,2019/06/03 04:00:12
16,一拳超人 (第二季),20,05/29,3383099,2019/06/03 04:00:12
17,強襲魔女 501 部隊出動！,8,05/29,93813,2019/06/03 04:00:12
18,鑽石王牌 act2,9,05/28,405024,2019/06/03 04:00:12
19,星光王子 KING OF PRISM -Shiny Seven Stars-,7,05/28,31729,2019/06/03 04:00:12
20,進擊的巨人 第三季,17,05/27,5063995,2019/06/03 04:00:12
21,八月的棒球甜心,7,05/20,148029,2019/06/03 04:00:12
