,title,vol,update,number,date
0,一拳超人 (第二季),15,04/24,965387,2019/04/25 18:00:41
1,強襲魔女 501 部隊出動！,3,04/24,36586,2019/04/25 18:00:41
2,鑽石王牌 act2,4,04/23,142275,2019/04/25 18:00:41
3,星光王子 KING OF PRISM -Shiny Seven Stars-,2,04/23,7326,2019/04/25 18:00:41
4,八月的棒球甜心,3,04/22,74078,2019/04/25 18:00:41
5,為什麼老師會在這裡！？,3,04/22,367096,2019/04/25 18:00:41
6,FAIRY TAIL 魔導少年 最終章,305,04/21,2153543,2019/04/25 18:00:41
7,一弦定音！,3,04/21,93526,2019/04/25 18:00:41
8,我們真的學不來！,3,04/21,232993,2019/04/25 18:00:41
9,鬼滅之刃,3,04/21,480420,2019/04/25 18:00:41
10,信長老師的年幼妻子,3,04/20,205338,2019/04/25 18:00:41
11,高中女生,3,04/20,129851,2019/04/25 18:00:41
12,超可動女孩 1/6,3,04/20,53895,2019/04/25 18:00:41
13,MIX,3,04/20,46714,2019/04/25 18:00:41
14,一個人的○○小日子,3,04/20,155145,2019/04/25 18:00:41
15,滿腦都是○○的我沒辦法談戀愛,3,04/20,310914,2019/04/25 18:00:41
16,川柳少女,3,04/20,133043,2019/04/25 18:00:41
17,JOJO 的奇妙冒險 黃金之風,27,04/20,4747147,2019/04/25 18:00:41
18,魔法水果籃,2,04/20,34237,2019/04/25 18:00:41
19,戀愛幕末男友外傳-危機,3,04/19,5905,2019/04/25 18:00:41
20,Fight League 交鋒聯盟,10,04/18,67211,2019/04/25 18:00:41
