,title,vol,update,number,date
0,鑽石王牌 act2,12,06/18,527755,2019/06/18 23:00:11
1,星光王子 KING OF PRISM -Shiny Seven Stars-,10,06/18,44332,2019/06/18 23:00:11
2,進擊的巨人 第三季,20,06/17,6065165,2019/06/18 23:00:11
3,八月的棒球甜心,9,06/17,169945,2019/06/18 23:00:11
4,為什麼老師會在這裡！？,11,06/17,1260198,2019/06/18 23:00:11
5,FAIRY TAIL 魔導少年 最終章,313,06/16,2786023,2019/06/18 23:00:11
6,一弦定音！,11,06/16,422751,2019/06/18 23:00:11
7,我們真的學不來！,11,06/16,941948,2019/06/18 23:00:11
8,鬼滅之刃,11,06/16,2649713,2019/06/18 23:00:11
9,信長老師的年幼妻子,11,06/15,927142,2019/06/18 23:00:11
10,高中女生,11,06/15,308884,2019/06/18 23:00:11
11,超可動女孩 1/6,11,06/15,173368,2019/06/18 23:00:11
12,MIX,11,06/15,173764,2019/06/18 23:00:11
13,魔法水果籃,10,06/15,236688,2019/06/18 23:00:11
14,一個人的○○小日子,11,06/15,556754,2019/06/18 23:00:11
15,滿腦都是○○的我沒辦法談戀愛,11,06/15,1200764,2019/06/18 23:00:11
16,川柳少女,11,06/15,505709,2019/06/18 23:00:11
17,JOJO 的奇妙冒險 黃金之風,34,06/15,6247983,2019/06/18 23:00:11
18,戀愛幕末男友外傳-危機,11,06/14,22697,2019/06/18 23:00:11
19,Fight League 交鋒聯盟,18,06/13,111571,2019/06/18 23:00:11
20,一拳超人 (第二季),21,06/12,4230041,2019/06/18 23:00:11
21,強襲魔女 501 部隊出動！,10,06/12,122319,2019/06/18 23:00:11
