,title,vol,update,number,date
0,戀愛幕末男友外傳-危機,10,06/07,18794,2019/06/07 07:00:09
1,Fight League 交鋒聯盟,17,06/06,96589,2019/06/07 07:00:09
2,強襲魔女 501 部隊出動！,9,06/05,103710,2019/06/07 07:00:09
3,鑽石王牌 act2,10,06/04,450028,2019/06/07 07:00:09
4,星光王子 KING OF PRISM -Shiny Seven Stars-,8,06/04,36185,2019/06/07 07:00:09
5,進擊的巨人 第三季,18,06/03,5396776,2019/06/07 07:00:09
6,為什麼老師會在這裡！？,9,06/03,1070542,2019/06/07 07:00:09
7,FAIRY TAIL 魔導少年 最終章,311,06/02,2639748,2019/06/07 07:00:09
8,一弦定音！,9,06/02,342819,2019/06/07 07:00:09
9,我們真的學不來！,9,06/02,747204,2019/06/07 07:00:09
10,鬼滅之刃,9,06/02,2040586,2019/06/07 07:00:09
11,信長老師的年幼妻子,9,06/01,763329,2019/06/07 07:00:09
12,高中女生,9,06/01,277721,2019/06/07 07:00:09
13,超可動女孩 1/6,9,06/01,149935,2019/06/07 07:00:09
14,MIX,9,06/01,142964,2019/06/07 07:00:09
15,一個人的○○小日子,9,06/01,464112,2019/06/07 07:00:09
16,滿腦都是○○的我沒辦法談戀愛,9,06/01,992493,2019/06/07 07:00:09
17,川柳少女,9,06/01,421568,2019/06/07 07:00:09
18,JOJO 的奇妙冒險 黃金之風,32,06/01,5809527,2019/06/07 07:00:09
19,魔法水果籃,8,06/01,177253,2019/06/07 07:00:09
20,一拳超人 (第二季),20,05/29,3608613,2019/06/07 07:00:09
21,八月的棒球甜心,7,05/20,150382,2019/06/07 07:00:09
