,title,vol,update,number,date
0,戀愛幕末男友外傳-危機,11,06/14,21133,2019/06/14 09:00:09
1,Fight League 交鋒聯盟,18,06/13,104850,2019/06/14 09:00:09
2,一拳超人 (第二季),21,06/12,4025442,2019/06/14 09:00:09
3,強襲魔女 501 部隊出動！,10,06/12,116267,2019/06/14 09:00:09
4,鑽石王牌 act2,11,06/11,507162,2019/06/14 09:00:09
5,星光王子 KING OF PRISM -Shiny Seven Stars-,9,06/11,41729,2019/06/14 09:00:09
6,八月的棒球甜心,8,06/10,161756,2019/06/14 09:00:09
7,進擊的巨人 第三季,19,06/10,5800912,2019/06/14 09:00:09
8,為什麼老師會在這裡！？,10,06/10,1183841,2019/06/14 09:00:09
9,FAIRY TAIL 魔導少年 最終章,312,06/09,2722994,2019/06/14 09:00:09
10,一弦定音！,10,06/09,386507,2019/06/14 09:00:09
11,我們真的學不來！,10,06/09,852388,2019/06/14 09:00:09
12,鬼滅之刃,10,06/09,2399169,2019/06/14 09:00:09
13,信長老師的年幼妻子,10,06/08,854411,2019/06/14 09:00:09
14,高中女生,10,06/08,294568,2019/06/14 09:00:09
15,超可動女孩 1/6,10,06/08,162645,2019/06/14 09:00:09
16,MIX,10,06/08,160052,2019/06/14 09:00:09
17,魔法水果籃,9,06/08,213107,2019/06/14 09:00:09
18,一個人的○○小日子,10,06/08,517383,2019/06/14 09:00:09
19,滿腦都是○○的我沒辦法談戀愛,10,06/08,1116726,2019/06/14 09:00:09
20,川柳少女,10,06/08,470361,2019/06/14 09:00:09
21,JOJO 的奇妙冒險 黃金之風,33,06/08,6052895,2019/06/14 09:00:09
