,title,vol,update,number,date
0,一個人的○○小日子,5,05/04,208450,2019/05/04 11:00:14
1,滿腦都是○○的我沒辦法談戀愛,5,05/04,414238,2019/05/04 11:00:14
2,川柳少女,5,05/04,180533,2019/05/04 11:00:14
3,JOJO 的奇妙冒險 黃金之風,28.5,05/04,4951641,2019/05/04 11:00:14
4,魔法水果籃,4,05/04,55023,2019/05/04 11:00:14
5,戀愛幕末男友外傳-危機,5,05/03,8018,2019/05/04 11:00:14
6,Fight League 交鋒聯盟,12,05/02,72308,2019/05/04 11:00:14
7,一拳超人 (第二季),16,05/01,1494272,2019/05/04 11:00:14
8,強襲魔女 501 部隊出動！,4,05/01,48963,2019/05/04 11:00:14
9,鑽石王牌 act2,5,04/30,194318,2019/05/04 11:00:14
10,星光王子 KING OF PRISM -Shiny Seven Stars-,3,04/30,13036,2019/05/04 11:00:14
11,八月的棒球甜心,4,04/29,96991,2019/05/04 11:00:14
12,進擊的巨人 第三季,13,04/29,3741033,2019/05/04 11:00:14
13,為什麼老師會在這裡！？,4,04/29,503910,2019/05/04 11:00:14
14,FAIRY TAIL 魔導少年 最終章,306,04/28,2233481,2019/05/04 11:00:14
15,一弦定音！,4,04/28,133383,2019/05/04 11:00:14
16,我們真的學不來！,4,04/28,323410,2019/05/04 11:00:14
17,鬼滅之刃,4,04/28,706494,2019/05/04 11:00:14
18,信長老師的年幼妻子,4,04/27,331539,2019/05/04 11:00:14
19,高中女生,4,04/27,164986,2019/05/04 11:00:14
20,超可動女孩 1/6,4,04/27,71135,2019/05/04 11:00:14
21,MIX,4,04/27,61644,2019/05/04 11:00:14
