,title,vol,update,number,date
0,星光王子 KING OF PRISM -Shiny Seven Stars-,6,05/21,23259,2019/05/21 18:00:28
1,進擊的巨人 第三季,16,05/20,4528914,2019/05/21 18:00:28
2,八月的棒球甜心,7,05/20,137206,2019/05/21 18:00:28
3,為什麼老師會在這裡！？,7,05/20,799886,2019/05/21 18:00:28
4,FAIRY TAIL 魔導少年 最終章,309,05/19,2446519,2019/05/21 18:00:28
5,一弦定音！,7,05/19,241670,2019/05/21 18:00:28
6,我們真的學不來！,7,05/19,545994,2019/05/21 18:00:28
7,鬼滅之刃,7,05/19,1403416,2019/05/21 18:00:28
8,信長老師的年幼妻子,7,05/18,560198,2019/05/21 18:00:28
9,高中女生,7,05/18,230061,2019/05/21 18:00:28
10,超可動女孩 1/6,7,05/18,118008,2019/05/21 18:00:28
11,MIX,7,05/18,105660,2019/05/21 18:00:28
12,一個人的○○小日子,7,05/18,353493,2019/05/21 18:00:28
13,滿腦都是○○的我沒辦法談戀愛,7,05/18,710699,2019/05/21 18:00:28
14,川柳少女,7,05/18,308890,2019/05/21 18:00:28
15,JOJO 的奇妙冒險 黃金之風,30,05/18,5383493,2019/05/21 18:00:28
16,魔法水果籃,6,05/18,118819,2019/05/21 18:00:28
17,戀愛幕末男友外傳-危機,7,05/17,14555,2019/05/21 18:00:28
18,Fight League 交鋒聯盟,14,05/16,83756,2019/05/21 18:00:28
19,一拳超人 (第二季),18,05/15,2500638,2019/05/21 18:00:28
20,強襲魔女 501 部隊出動！,6,05/15,74955,2019/05/21 18:00:28
21,鑽石王牌 act2,7,05/14,307493,2019/05/21 18:00:28
