,title,vol,update,number,date
0,FAIRY TAIL 魔導少年 最終章,308,05/12,2314364,2019/05/12 20:00:28
1,一弦定音！,6,05/12,177455,2019/05/12 20:00:28
2,我們真的學不來！,6,05/12,401920,2019/05/12 20:00:28
3,鬼滅之刃,6,05/12,971159,2019/05/12 20:00:28
4,信長老師的年幼妻子,6,05/11,432691,2019/05/12 20:00:28
5,高中女生,6,05/11,193698,2019/05/12 20:00:28
6,超可動女孩 1/6,6,05/11,91576,2019/05/12 20:00:28
7,MIX,6,05/11,82442,2019/05/12 20:00:28
8,一個人的○○小日子,6,05/11,282588,2019/05/12 20:00:28
9,滿腦都是○○的我沒辦法談戀愛,6,05/11,573442,2019/05/12 20:00:28
10,川柳少女,6,05/11,248371,2019/05/12 20:00:28
11,JOJO 的奇妙冒險 黃金之風,29,05/11,5151426,2019/05/12 20:00:28
12,魔法水果籃,5,05/11,86836,2019/05/12 20:00:28
13,戀愛幕末男友外傳-危機,6,05/10,11968,2019/05/12 20:00:28
14,Fight League 交鋒聯盟,13,05/09,77024,2019/05/12 20:00:28
15,一拳超人 (第二季),17,05/08,1988663,2019/05/12 20:00:28
16,強襲魔女 501 部隊出動！,5,05/08,62031,2019/05/12 20:00:28
17,鑽石王牌 act2,6,05/07,249783,2019/05/12 20:00:28
18,星光王子 KING OF PRISM -Shiny Seven Stars-,4,05/07,18556,2019/05/12 20:00:28
19,進擊的巨人 第三季,14,05/06,4062151,2019/05/12 20:00:28
20,八月的棒球甜心,5,05/06,115857,2019/05/12 20:00:28
21,為什麼老師會在這裡！？,5,05/06,637179,2019/05/12 20:00:28
