,title,vol,update,number,date
0,FAIRY TAIL 魔導少年 最終章,309,05/19,2382490,2019/05/19 16:00:26
1,一弦定音！,7,05/19,213496,2019/05/19 16:00:26
2,我們真的學不來！,7,05/19,483032,2019/05/19 16:00:26
3,鬼滅之刃,7,05/19,1210913,2019/05/19 16:00:26
4,信長老師的年幼妻子,7,05/18,505835,2019/05/19 16:00:26
5,高中女生,7,05/18,215909,2019/05/19 16:00:26
6,超可動女孩 1/6,7,05/18,107144,2019/05/19 16:00:26
7,MIX,7,05/18,93313,2019/05/19 16:00:26
8,一個人的○○小日子,7,05/18,310337,2019/05/19 16:00:26
9,滿腦都是○○的我沒辦法談戀愛,7,05/18,630117,2019/05/19 16:00:26
10,川柳少女,7,05/18,273318,2019/05/19 16:00:26
11,JOJO 的奇妙冒險 黃金之風,30,05/18,5243327,2019/05/19 16:00:26
12,魔法水果籃,6,05/18,100889,2019/05/19 16:00:26
13,戀愛幕末男友外傳-危機,7,05/17,13680,2019/05/19 16:00:26
14,Fight League 交鋒聯盟,14,05/16,81841,2019/05/19 16:00:26
15,一拳超人 (第二季),18,05/15,2390353,2019/05/19 16:00:26
16,強襲魔女 501 部隊出動！,6,05/15,72431,2019/05/19 16:00:26
17,鑽石王牌 act2,7,05/14,296611,2019/05/19 16:00:26
18,星光王子 KING OF PRISM -Shiny Seven Stars-,5,05/14,22135,2019/05/19 16:00:26
19,進擊的巨人 第三季,15,05/13,4336908,2019/05/19 16:00:26
20,八月的棒球甜心,6,05/13,129840,2019/05/19 16:00:26
21,為什麼老師會在這裡！？,6,05/13,735405,2019/05/19 16:00:26
