,title,vol,update,number,date
0,MIX,7,05/18,93313,2019/05/18 22:00:27
1,一個人的○○小日子,7,05/18,310337,2019/05/18 22:00:27
2,滿腦都是○○的我沒辦法談戀愛,7,05/18,630117,2019/05/18 22:00:27
3,川柳少女,7,05/18,273318,2019/05/18 22:00:27
4,JOJO 的奇妙冒險 黃金之風,30,05/18,5243327,2019/05/18 22:00:27
5,魔法水果籃,6,05/18,100889,2019/05/18 22:00:27
6,戀愛幕末男友外傳-危機,7,05/17,13680,2019/05/18 22:00:27
7,Fight League 交鋒聯盟,14,05/16,81841,2019/05/18 22:00:27
8,一拳超人 (第二季),18,05/15,2390353,2019/05/18 22:00:27
9,強襲魔女 501 部隊出動！,6,05/15,72431,2019/05/18 22:00:27
10,鑽石王牌 act2,7,05/14,296611,2019/05/18 22:00:27
11,星光王子 KING OF PRISM -Shiny Seven Stars-,5,05/14,22135,2019/05/18 22:00:27
12,進擊的巨人 第三季,15,05/13,4336908,2019/05/18 22:00:27
13,八月的棒球甜心,6,05/13,129840,2019/05/18 22:00:27
14,為什麼老師會在這裡！？,6,05/13,735405,2019/05/18 22:00:27
15,FAIRY TAIL 魔導少年 最終章,308,05/12,2382490,2019/05/18 22:00:27
16,一弦定音！,6,05/12,213496,2019/05/18 22:00:27
17,我們真的學不來！,6,05/12,483032,2019/05/18 22:00:27
18,鬼滅之刃,6,05/12,1210913,2019/05/18 22:00:27
19,信長老師的年幼妻子,6,05/11,505835,2019/05/18 22:00:27
20,高中女生,6,05/11,215909,2019/05/18 22:00:27
21,超可動女孩 1/6,6,05/11,107144,2019/05/18 22:00:27
