,title,vol,update,number,date
0,JOJO 的奇妙冒險 黃金之風,28.5,05/04,4951641,2019/05/04 02:00:11
1,魔法水果籃,4,05/04,55023,2019/05/04 02:00:11
2,戀愛幕末男友外傳-危機,5,05/03,8018,2019/05/04 02:00:11
3,Fight League 交鋒聯盟,12,05/02,72308,2019/05/04 02:00:11
4,一拳超人 (第二季),16,05/01,1494272,2019/05/04 02:00:11
5,強襲魔女 501 部隊出動！,4,05/01,48963,2019/05/04 02:00:11
6,鑽石王牌 act2,5,04/30,194318,2019/05/04 02:00:11
7,星光王子 KING OF PRISM -Shiny Seven Stars-,3,04/30,13036,2019/05/04 02:00:11
8,八月的棒球甜心,4,04/29,96991,2019/05/04 02:00:11
9,進擊的巨人 第三季,13,04/29,3741033,2019/05/04 02:00:11
10,為什麼老師會在這裡！？,4,04/29,503910,2019/05/04 02:00:11
11,FAIRY TAIL 魔導少年 最終章,306,04/28,2233481,2019/05/04 02:00:11
12,一弦定音！,4,04/28,133383,2019/05/04 02:00:11
13,我們真的學不來！,4,04/28,323410,2019/05/04 02:00:11
14,鬼滅之刃,4,04/28,706494,2019/05/04 02:00:11
15,信長老師的年幼妻子,4,04/27,331539,2019/05/04 02:00:11
16,高中女生,4,04/27,164986,2019/05/04 02:00:11
17,超可動女孩 1/6,4,04/27,71135,2019/05/04 02:00:11
18,MIX,4,04/27,61644,2019/05/04 02:00:11
19,一個人的○○小日子,4,04/27,208450,2019/05/04 02:00:11
20,滿腦都是○○的我沒辦法談戀愛,4,04/27,414238,2019/05/04 02:00:11
21,川柳少女,4,04/27,180533,2019/05/04 02:00:11
