,title,vol,update,number,date
0,一弦定音！,9,06/02,297600,2019/06/02 04:00:27
1,我們真的學不來！,9,06/02,646444,2019/06/02 04:00:27
2,鬼滅之刃,9,06/02,1752820,2019/06/02 04:00:27
3,信長老師的年幼妻子,9,06/01,680923,2019/06/02 04:00:27
4,高中女生,9,06/01,260271,2019/06/02 04:00:27
5,超可動女孩 1/6,9,06/01,136999,2019/06/02 04:00:27
6,MIX,9,06/01,126541,2019/06/02 04:00:27
7,一個人的○○小日子,9,06/01,412752,2019/06/02 04:00:27
8,滿腦都是○○的我沒辦法談戀愛,9,06/01,835506,2019/06/02 04:00:27
9,川柳少女,9,06/01,374734,2019/06/02 04:00:27
10,JOJO 的奇妙冒險 黃金之風,32,06/01,5632170,2019/06/02 04:00:27
11,魔法水果籃,8,06/01,152513,2019/06/02 04:00:27
12,戀愛幕末男友外傳-危機,9,05/31,17868,2019/06/02 04:00:27
13,Fight League 交鋒聯盟,16,05/30,93813,2019/06/02 04:00:27
14,一拳超人 (第二季),20,05/29,3330804,2019/06/02 04:00:27
15,強襲魔女 501 部隊出動！,8,05/29,92551,2019/06/02 04:00:27
16,鑽石王牌 act2,9,05/28,400149,2019/06/02 04:00:27
17,星光王子 KING OF PRISM -Shiny Seven Stars-,7,05/28,31037,2019/06/02 04:00:27
18,進擊的巨人 第三季,17,05/27,5025788,2019/06/02 04:00:27
19,為什麼老師會在這裡！？,8,05/27,970984,2019/06/02 04:00:27
20,FAIRY TAIL 魔導少年 最終章,310,05/26,2555595,2019/06/02 04:00:27
21,八月的棒球甜心,7,05/20,147550,2019/06/02 04:00:27
